2500, 19285.000
2500, 19074.000
2500, 20387.000
2500, 20961.000
2500, 21217.000
2500, 22159.000
5000, 58850.000
5000, 58754.000
5000, 58683.000
5000, 58678.000
5000, 58523.000
5000, 58622.000
10000, 234192.000
10000, 234397.000
10000, 234199.000
10000, 234101.000
10000, 233940.000
10000, 234929.000
20000, 933239.000
20000, 933068.000
20000, 932722.000
20000, 932917.000
20000, 932914.000
20000, 937439.000
40000, 3734378.000
40000, 3733277.000
40000, 3736755.000
40000, 3734842.000
40000, 3738279.000
40000, 3735398.000
80000, 14913042.000
80000, 14915480.000
80000, 14916937.000
80000, 14922421.000
80000, 14916546.000
80000, 14920969.000
