2500, 20480.000
2500, 20675.000
2500, 21079.000
2500, 21523.000
2500, 22099.000
2500, 21784.000
2500, 21926.000
2500, 22137.000
5000, 58677.000
5000, 58477.000
5000, 58554.000
5000, 58525.000
5000, 58636.000
5000, 58614.000
5000, 58547.000
5000, 58797.000
10000, 233826.000
10000, 234583.000
10000, 234068.000
10000, 233770.000
10000, 234044.000
10000, 234226.000
10000, 233965.000
10000, 233997.000
20000, 932024.000
20000, 932094.000
20000, 933326.000
20000, 933212.000
20000, 933087.000
20000, 933295.000
20000, 933548.000
20000, 935344.000
40000, 3729432.000
40000, 3729173.000
40000, 3733686.000
40000, 3734453.000
40000, 3734251.000
40000, 3734603.000
40000, 3735909.000
40000, 3743258.000
80000, 14899599.000
80000, 14903369.000
80000, 14915374.000
80000, 14917077.000
80000, 14920150.000
80000, 14921512.000
80000, 14922855.000
80000, 14955997.000
